zip,type,decommissioned,primary_city,state,county,timezone
501,UNIQUE,0,Holtsville,NY,Suffolk County,America/New_York
544,UNIQUE,0,Holtsville,NY,Suffolk County,America/New_York
601,STANDARD,0,Adjuntas,PR,Adjuntas Municipio,America/Puerto_Rico
602,STANDARD,0,Aguada,PR,Aguada Municipio,America/Puerto_Rico
603,STANDARD,0,Aguadilla,PR,Aguadilla Municipio,America/Puerto_Rico
604,PO BOX,0,Aguadilla,PR,,America/Puerto_Rico
605,PO BOX,0,Aguadilla,PR,,America/Puerto_Rico
606,STANDARD,0,Maricao,PR,Maricao Municipio,America/Puerto_Rico
610,STANDARD,0,Anasco,PR,Anasco Municipio,America/Puerto_Rico
611,PO BOX,0,Angeles,PR,,America/Puerto_Rico
612,STANDARD,0,Arecibo,PR,Arecibo Municipio,America/Puerto_Rico
613,PO BOX,0,Arecibo,PR,,America/Puerto_Rico
614,PO BOX,0,Arecibo,PR,,America/Puerto_Rico
616,STANDARD,0,Bajadero,PR,Arecibo Municipio,America/Puerto_Rico
617,STANDARD,0,Barceloneta,PR,Barceloneta Municipio,America/Puerto_Rico
622,STANDARD,0,Boqueron,PR,Cabo Rojo Municipio,America/Puerto_Rico
623,STANDARD,0,Cabo Rojo,PR,Cabo Rojo Municipio,America/Puerto_Rico
624,STANDARD,0,Penuelas,PR,Penuelas Municipio,America/Puerto_Rico
627,STANDARD,0,Camuy,PR,Camuy Municipio,America/Puerto_Rico
631,PO BOX,0,Castaner,PR,Lares Municipio,America/Puerto_Rico
636,PO BOX,0,Rosario,PR,,America/Puerto_Rico
637,STANDARD,0,Sabana Grande,PR,Sabana Grande Municipio,America/Puerto_Rico
638,STANDARD,0,Ciales,PR,Ciales Municipio,America/Puerto_Rico
641,STANDARD,0,Utuado,PR,Utuado Municipio,America/Puerto_Rico
646,STANDARD,0,Dorado,PR,Dorado Municipio,America/Puerto_Rico
647,STANDARD,0,Ensenada,PR,Guanica Municipio,America/Puerto_Rico
650,STANDARD,0,Florida,PR,Florida Municipio,America/Puerto_Rico
652,STANDARD,0,Garrochales,PR,Arecibo Municipio,America/Puerto_Rico
653,STANDARD,0,Guanica,PR,Guanica Municipio,America/Puerto_Rico
656,STANDARD,0,Guayanilla,PR,Guayanilla Municipio,America/Puerto_Rico
659,STANDARD,0,Hatillo,PR,Hatillo Municipio,America/Puerto_Rico
660,STANDARD,0,Hormigueros,PR,Hormigueros Municipio,America/Puerto_Rico
662,STANDARD,0,Isabela,PR,Isabela Municipio,America/Puerto_Rico
664,STANDARD,0,Jayuya,PR,Jayuya Municipio,America/Puerto_Rico
667,STANDARD,0,Lajas,PR,Lajas Municipio,America/Puerto_Rico
669,STANDARD,0,Lares,PR,Lares Municipio,America/Puerto_Rico
670,STANDARD,0,Las Marias,PR,Las Marias Municipio,America/Puerto_Rico
674,STANDARD,0,Manati,PR,Manati Municipio,America/Puerto_Rico
676,STANDARD,0,Moca,PR,Moca Municipio,America/Puerto_Rico
677,STANDARD,0,Rincon,PR,Rincon Municipio,America/Puerto_Rico
678,STANDARD,0,Quebradillas,PR,Quebradillas Municipio,America/Puerto_Rico
680,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico
681,PO BOX,0,Mayaguez,PR,,America/Puerto_Rico
682,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico
683,STANDARD,0,San German,PR,San German Municipio,America/Puerto_Rico
685,STANDARD,0,San Sebastian,PR,San Sebastian Municipio,America/Puerto_Rico
687,STANDARD,0,Morovis,PR,Morovis Municipio,America/Puerto_Rico
688,STANDARD,0,Sabana Hoyos,PR,Arecibo Municipio,America/Puerto_Rico
690,STANDARD,0,San Antonio,PR,Aguadilla Municipio,America/Puerto_Rico
692,STANDARD,0,Vega Alta,PR,Vega Alta Municipio,America/Puerto_Rico
693,STANDARD,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico
694,PO BOX,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico
698,STANDARD,0,Yauco,PR,Yauco Municipio,America/Puerto_Rico
703,STANDARD,0,Aguas Buenas,PR,Aguas Buenas Municipio,America/Puerto_Rico
704,STANDARD,0,Aguirre,PR,Salinas Municipio,America/Puerto_Rico
705,STANDARD,0,Aibonito,PR,Aibonito Municipio,America/Puerto_Rico
707,STANDARD,0,Maunabo,PR,Maunabo Municipio,America/Puerto_Rico
714,STANDARD,0,Arroyo,PR,Arroyo Municipio,America/Puerto_Rico
715,STANDARD,0,Mercedita,PR,Ponce Municipio,America/Puerto_Rico
716,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico
717,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico
718,STANDARD,0,Naguabo,PR,Naguabo Municipio,America/Puerto_Rico
719,STANDARD,0,Naranjito,PR,Naranjito Municipio,America/Puerto_Rico
720,STANDARD,0,Orocovis,PR,Orocovis Municipio,America/Puerto_Rico
721,PO BOX,0,Palmer,PR,,America/Puerto_Rico
723,STANDARD,0,Patillas,PR,Patillas Municipio,America/Puerto_Rico
725,STANDARD,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico
726,PO BOX,0,Caguas,PR,,America/Puerto_Rico
727,STANDARD,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico
728,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico
729,STANDARD,0,Canovanas,PR,Canovanas Municipio,America/Puerto_Rico
730,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico
731,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico
732,PO BOX,0,Ponce,PR,,America/Puerto_Rico
733,PO BOX,0,Ponce,PR,,America/Puerto_Rico
734,PO BOX,0,Ponce,PR,,America/Puerto_Rico
735,STANDARD,0,Ceiba,PR,Ceiba Municipio,America/Puerto_Rico
736,STANDARD,0,Cayey,PR,Cayey Municipio,America/Puerto_Rico
737,PO BOX,0,Cayey,PR,,America/Puerto_Rico
738,STANDARD,0,Fajardo,PR,Fajardo Municipio,America/Puerto_Rico
739,STANDARD,0,Cidra,PR,Cidra Municipio,America/Puerto_Rico
740,STANDARD,0,Puerto Real,PR,Fajardo Municipio,America/Puerto_Rico
741,STANDARD,0,Punta Santiago,PR,Humacao Municipio,America/Puerto_Rico
742,PO BOX,0,Roosevelt Roads,PR,,America/Puerto_Rico
744,PO BOX,0,Rio Blanco,PR,,America/Puerto_Rico
745,STANDARD,0,Rio Grande,PR,Rio Grande Municipio,America/Puerto_Rico
751,STANDARD,0,Salinas,PR,Salinas Municipio,America/Puerto_Rico
754,STANDARD,0,San Lorenzo,PR,San Lorenzo Municipio,America/Puerto_Rico
757,STANDARD,0,Santa Isabel,PR,Santa Isabel Municipio,America/Puerto_Rico
765,STANDARD,0,Vieques,PR,Vieques Municipio,America/Puerto_Rico
766,STANDARD,0,Villalba,PR,Villalba Municipio,America/Puerto_Rico
767,STANDARD,0,Yabucoa,PR,Yabucoa Municipio,America/Puerto_Rico
769,STANDARD,0,Coamo,PR,Coamo Municipio,America/Puerto_Rico
771,STANDARD,0,Las Piedras,PR,Las Piedras Municipio,America/Puerto_Rico
772,STANDARD,0,Loiza,PR,Loiza Municipio,America/Puerto_Rico
773,STANDARD,0,Luquillo,PR,Luquillo Municipio,America/Puerto_Rico
775,PO BOX,0,Culebra,PR,Culebra Municipio,America/Puerto_Rico
777,STANDARD,0,Juncos,PR,Juncos Municipio,America/Puerto_Rico
778,STANDARD,0,Gurabo,PR,Gurabo Municipio,America/Puerto_Rico
780,STANDARD,0,Coto Laurel,PR,Ponce Municipio,America/Puerto_Rico
